tag,file,audio_s,proc_s,rtf
exp2_L4,white_5dB/no/con_008_pro_008.wav,4.22,0.48,0.114
exp2_L4,white_5dB/no/con_009_pro_009.wav,4.65,0.52,0.111
exp2_L4,white_5dB/no/con_010_pro_010.wav,5.42,0.59,0.108
exp2_L4,white_5dB/no/con_011_pro_011.wav,6.61,0.71,0.107
real_L3,discussion_canteen_01.wav,30.06,4.51,0.150
real_L3,discussion_canteen_heavy_01.wav,16.40,1.75,0.107
real_L3,discussion_quiet_01.wav,35.26,4.03,0.114
real_L4,discussion_canteen_01.wav,30.06,4.24,0.141
real_L4,discussion_canteen_heavy_01.wav,16.40,1.75,0.107
real_L4,discussion_quiet_01.wav,35.26,4.02,0.114
exp6_L3,babble_0dB/heavy/s0.wav,17.10,3.68,0.215
exp6_L3,babble_0dB/heavy/s1.wav,17.43,1.88,0.108
exp6_L3,babble_0dB/heavy/s2.wav,15.09,1.64,0.109
exp6_L3,babble_0dB/heavy/s3.wav,15.75,1.68,0.107
exp6_L3,babble_0dB/heavy/s4.wav,13.74,1.46,0.106
exp6_L3,babble_0dB/light/s0.wav,23.55,2.65,0.112
exp6_L3,babble_0dB/light/s1.wav,22.94,2.49,0.109
exp6_L3,babble_0dB/light/s2.wav,20.72,2.23,0.108
exp6_L3,babble_0dB/light/s3.wav,21.39,2.31,0.108
exp6_L3,babble_0dB/light/s4.wav,19.24,2.06,0.107
exp6_L3,clean/heavy/s0.wav,17.10,1.82,0.106
exp6_L3,clean/heavy/s1.wav,17.43,1.87,0.107
exp6_L3,clean/heavy/s2.wav,15.09,1.64,0.109
exp6_L3,clean/heavy/s3.wav,15.75,1.68,0.107
exp6_L3,clean/heavy/s4.wav,13.74,1.45,0.106
exp6_L3,clean/light/s0.wav,23.55,2.64,0.112
exp6_L3,clean/light/s1.wav,22.94,2.50,0.109
exp6_L3,clean/light/s2.wav,20.72,2.23,0.108
exp6_L3,clean/light/s3.wav,21.39,2.31,0.108
exp6_L3,clean/light/s4.wav,19.24,2.06,0.107
